1;Fraise;fraise.jpeg;1;1
2;Abricot;abricot.jpeg;2;1
3;Peche;peche.jpeg;2;1
4;Cerise;cerise.jpeg;1;1
5;Groseille;groseille.jpeg;1;1
6;Prune;prune.jpeg;2;1
7;Poire;poire.jpeg;2;1
8;Pomme;pomme.jpeg;2;1
9;Salade;salade.jpeg;4;2
10;Choux;Choux.png;4;2
11;Andive;Andive.png;1;2
12;Pomme de terre;Pomme de terre.png;2;2
13;Tomate;Tomate.png;2;2
14;Courgette;Courgette.png;2;2
15;Aubergine;Aubergine.png;2;2
16;Agneau;Agneau.png;2;3
17;Jambon;Jambon.png;2;3
18;Porc;Porc.png;2;3
19;Veau;Veau.png;2;3
20;Cerf;Cerf.png;2;3
21;Bleu;Bleu.png;1;4
22;Camembert;Camembert.png;1;4
23;Comté;Comté.png;1;4
24;Crotin;Crotin.png;1;4
25;Raclette;Raclette.png;1;4
26;Tome;Tome.png;1;4
27;Lait;Lait.png;3;5
28;Jus de pomme;Jus de pomme.png;3;5
29;Jus de poire;Jus de poire.png;3;5
30;Jus d’orange;Jus d’orange.png;3;5
